,subject,month,day,year,city,region1,postal_code,lat,lng,stance
147, Save NY from Climate-Killing Cryptocurrency ,11.0,13.0,21.0,New Paltz,NY,12561,41.784327000000005,-74.041021,0
148, No on Greenidge Gas Station ,10.0,14.0,21.0,Ny,NY,10009,40.7226407,-73.98234927321805,0
149, Greenidge Generation Power Plant ,10.0,5.0,21.0,Rochester,NY,14616,43.2361001,-77.633098,0
150, Greenidge Generation Power Plant ,10.0,12.0,21.0,Harrison,NY,10528,40.9715616,-73.705235,0
151, Save NY from Climate-Killing Cryptocurrency ,10.0,30.0,21.0,Fonda,NY,12068,42.9633973,-74.38404279999999,0
152, Greenidge Generation Power Plant ,10.0,5.0,21.0,Brooklyn,NY,11201,40.6878399,-73.999053,0
153, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Whitestone,NY,11357-1947,40.790427,-73.80384892761425,0
154, Save NY from Climate-Killing Cryptocurrency ,11.0,18.0,21.0,Cambridge,NY,12816,43.03138679999999,-73.43474640000001,0
156, Greenidge Generation Power Plant ,11.0,17.0,21.0,Wappingers Falls,NY,12590,41.592434600000004,-73.8697066,0
157, Save NY from Climate-Killing Cryptocurrency ,11.0,18.0,21.0,Hastings on Hudson,NY,10706,40.9813325,-73.876773,0
158, Deny Greenidge's Title V Air Permit ,10.0,5.0,21.0,Lyons,NY,14489-9020,43.138863,-77.04848112113768,0
159, Greenidge Generation Power Plant ,10.0,24.0,21.0,New York,NY,10013,40.726051857142856,-74.00369764285716,0
160, Deny Greenidge's Title V Air Permit ,11.0,4.0,21.0,Riverhead,NY,11901-1416,40.964306262832345,-72.67619497325022,0
161, Please Deny Greenidge Station ,11.0,18.0,21.0,Valhalla,NY,10595,41.078374,-73.77564,0
164, Greenidge Generation Power Plant ,10.0,22.0,21.0,Queensbury,NY,12804,43.315284399999996,-73.66777929999999,0
165, Deny Greenidge's Title V Air Permit ,11.0,16.0,21.0,Dundee,NY,14837-8845,42.484778000000006,-76.92487976190476,0
166, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Conklin,NY,13748,42.05923789999999,-75.84059090000001,0
167, Greenidge Generation Power Plant ,10.0,5.0,21.0,Bronx,NY,10462,40.83576744,-73.86117904,0
169, Greenidge Generation Power Plant ,10.0,13.0,21.0,Ithaca,NY,14850,42.46726963521567,-76.55714183596227,0
170, Greenidge Generation Power Plant ,10.0,16.0,21.0,Horseheads,NY,14845,42.17836774064993,-76.8166346114045,0
171, Save NY from Climate-Killing Cryptocurrency ,10.0,31.0,21.0,Baldwinsville,NY,13027,43.13370870000001,-76.3117084,0
172, Save NY from Climate-Killing Cryptocurrency ,10.0,29.0,21.0,Buffalo,NY,14214,42.945265,-78.8349066,0
